county,NAME,RESP_DATE,CRRALL,CRRINT,DRRALL,DRRINT
087,Morgan County,2020-03-21,0.183,0.16,0.019,0.013
089,Otero County,2020-03-21,0.202,0.124,0.022,0.008
091,Ouray County,2020-03-21,0.071,0.071,0.016,0.016
093,Park County,2020-03-21,0.047,0.047,0.008,0.008
095,Phillips County,2020-03-21,0.234,0.169,0.023,0.012
097,Pitkin County,2020-03-21,0.06,0.059,0.011,0.011
099,Prowers County,2020-03-21,0.148,0.097,0.02,0.006
101,Pueblo County,2020-03-21,0.203,0.14,0.024,0.013
103,Rio Blanco County,2020-03-21,0.071,0.069,0.012,0.012
105,Rio Grande County,2020-03-21,0.149,0.07,0.022,0.006
107,Routt County,2020-03-21,0.053,0.053,0.007,0.007
109,Saguache County,2020-03-21,0.033,0.012,0.007,0.002
111,San Juan County,2020-03-21,0.01,0.01,0,0
113,San Miguel County,2020-03-21,0.025,0.024,0.003,0.002
115,Sedgwick County,2020-03-21,0.208,0.061,0.029,0.006
117,Summit County,2020-03-21,0.027,0.027,0.003,0.003
119,Teller County,2020-03-21,0.116,0.115,0.016,0.016
121,Washington County,2020-03-21,0.219,0.065,0.038,0.005
123,Weld County,2020-03-21,0.151,0.14,0.023,0.02
125,Yuma County,2020-03-21,0.243,0.074,0.048,0.005
001,Adams County,2020-03-22,0.189,0.177,0.021,0.019
003,Alamosa County,2020-03-22,0.171,0.136,0.016,0.011
005,Arapahoe County,2020-03-22,0.22,0.21,0.026,0.025
007,Archuleta County,2020-03-22,0.077,0.076,0.013,0.013
009,Baca County,2020-03-22,0.149,0.039,0.02,0.002
011,Bent County,2020-03-22,0.248,0.064,0.029,0.003
013,Boulder County,2020-03-22,0.23,0.229,0.028,0.028
014,Broomfield County,2020-03-22,0.206,0.206,0.032,0.032
015,Chaffee County,2020-03-22,0.176,0.165,0.015,0.014
017,Cheyenne County,2020-03-22,0.055,0.011,0.009,0.001
019,Clear Creek County,2020-03-22,0.105,0.104,0.009,0.009
021,Conejos County,2020-03-22,0.061,0.015,0.012,0.001
023,Costilla County,2020-03-22,0.019,0.006,0.003,0
025,Crowley County,2020-03-22,0.204,0.05,0.026,0.002
027,Custer County,2020-03-22,0.067,0.066,0.008,0.007
029,Delta County,2020-03-22,0.207,0.1,0.053,0.008
031,Denver County,2020-03-22,0.207,0.195,0.02,0.019
033,Dolores County,2020-03-22,0.03,0.014,0.003,0.002
035,Douglas County,2020-03-22,0.184,0.184,0.04,0.04
037,Eagle County,2020-03-22,0.036,0.036,0.005,0.005
039,Elbert County,2020-03-22,0.187,0.173,0.03,0.028
041,El Paso County,2020-03-22,0.223,0.217,0.024,0.023
043,Fremont County,2020-03-22,0.262,0.149,0.027,0.012
045,Garfield County,2020-03-22,0.179,0.177,0.019,0.019
047,Gilpin County,2020-03-22,0.094,0.094,0.013,0.013
049,Grand County,2020-03-22,0.005,0.005,0,0
051,Gunnison County,2020-03-22,0.083,0.082,0.007,0.007
053,Hinsdale County,2020-03-22,0.014,0.014,0.001,0.001
055,Huerfano County,2020-03-22,0.107,0.049,0.016,0.005
057,Jackson County,2020-03-22,0.014,0.004,0.003,0
059,Jefferson County,2020-03-22,0.222,0.218,0.031,0.031
061,Kiowa County,2020-03-22,0.116,0.032,0.02,0
063,Kit Carson County,2020-03-22,0.181,0.148,0.011,0.006
065,Lake County,2020-03-22,0.113,0.11,0.007,0.007
067,La Plata County,2020-03-22,0.13,0.129,0.019,0.019
069,Larimer County,2020-03-22,0.184,0.182,0.031,0.031
071,Las Animas County,2020-03-22,0.16,0.058,0.025,0.004
073,Lincoln County,2020-03-22,0.108,0.049,0.014,0.005
075,Logan County,2020-03-22,0.258,0.174,0.018,0.01
077,Mesa County,2020-03-22,0.219,0.209,0.026,0.022
079,Mineral County,2020-03-22,0.029,0.028,0.002,0.002
081,Moffat County,2020-03-22,0.132,0.123,0.015,0.012
083,Montezuma County,2020-03-22,0.171,0.167,0.021,0.021
085,Montrose County,2020-03-22,0.201,0.147,0.043,0.019
087,Morgan County,2020-03-22,0.198,0.173,0.015,0.012
089,Otero County,2020-03-22,0.223,0.132,0.022,0.008
091,Ouray County,2020-03-22,0.086,0.085,0.014,0.014
093,Park County,2020-03-22,0.054,0.054,0.007,0.007
095,Phillips County,2020-03-22,0.251,0.178,0.018,0.009
097,Pitkin County,2020-03-22,0.069,0.069,0.01,0.01
099,Prowers County,2020-03-22,0.164,0.102,0.016,0.005
101,Pueblo County,2020-03-22,0.226,0.151,0.023,0.01
103,Rio Blanco County,2020-03-22,0.081,0.079,0.01,0.01
105,Rio Grande County,2020-03-22,0.171,0.076,0.023,0.006
107,Routt County,2020-03-22,0.061,0.06,0.007,0.007
109,Saguache County,2020-03-22,0.043,0.013,0.009,0.001
111,San Juan County,2020-03-22,0.011,0.011,0.001,0.001
113,San Miguel County,2020-03-22,0.029,0.028,0.003,0.003
115,Sedgwick County,2020-03-22,0.237,0.065,0.03,0.003
117,Summit County,2020-03-22,0.03,0.03,0.003,0.003
119,Teller County,2020-03-22,0.132,0.131,0.016,0.016
121,Washington County,2020-03-22,0.231,0.067,0.012,0.002
123,Weld County,2020-03-22,0.175,0.162,0.024,0.022
125,Yuma County,2020-03-22,0.268,0.078,0.025,0.004
001,Adams County,2020-03-23,0.207,0.195,0.018,0.018
003,Alamosa County,2020-03-23,0.18,0.145,0.009,0.009
005,Arapahoe County,2020-03-23,0.242,0.233,0.022,0.022
007,Archuleta County,2020-03-23,0.086,0.086,0.01,0.01
009,Baca County,2020-03-23,0.152,0.041,0.002,0.002
011,Bent County,2020-03-23,0.252,0.068,0.004,0.004
013,Boulder County,2020-03-23,0.253,0.252,0.023,0.023
014,Broomfield County,2020-03-23,0.234,0.233,0.027,0.027
015,Chaffee County,2020-03-23,0.188,0.177,0.012,0.012
017,Cheyenne County,2020-03-23,0.056,0.012,0.001,0.001
019,Clear Creek County,2020-03-23,0.116,0.115,0.011,0.011
021,Conejos County,2020-03-23,0.062,0.016,0.001,0.001
023,Costilla County,2020-03-23,0.019,0.007,0.001,0.001
025,Crowley County,2020-03-23,0.211,0.053,0.007,0.004
027,Custer County,2020-03-23,0.073,0.072,0.006,0.006
029,Delta County,2020-03-23,0.216,0.109,0.009,0.009
031,Denver County,2020-03-23,0.224,0.212,0.016,0.016
033,Dolores County,2020-03-23,0.036,0.02,0.006,0.006
035,Douglas County,2020-03-23,0.219,0.219,0.035,0.035
037,Eagle County,2020-03-23,0.041,0.04,0.004,0.004
039,Elbert County,2020-03-23,0.213,0.199,0.026,0.026
041,El Paso County,2020-03-23,0.243,0.236,0.019,0.019
043,Fremont County,2020-03-23,0.27,0.157,0.008,0.008
045,Garfield County,2020-03-23,0.194,0.192,0.015,0.015
047,Gilpin County,2020-03-23,0.104,0.104,0.01,0.01
049,Grand County,2020-03-23,0.006,0.006,0.001,0.001
051,Gunnison County,2020-03-23,0.089,0.088,0.006,0.006
053,Hinsdale County,2020-03-23,0.015,0.015,0.001,0.001
055,Huerfano County,2020-03-23,0.109,0.051,0.003,0.002
057,Jackson County,2020-03-23,0.014,0.004,0,0
059,Jefferson County,2020-03-23,0.248,0.244,0.026,0.026
061,Kiowa County,2020-03-23,0.116,0.032,0,0
063,Kit Carson County,2020-03-23,0.185,0.153,0.005,0.005
065,Lake County,2020-03-23,0.125,0.123,0.013,0.013
067,La Plata County,2020-03-23,0.145,0.144,0.016,0.015
069,Larimer County,2020-03-23,0.208,0.206,0.024,0.024
071,Las Animas County,2020-03-23,0.163,0.061,0.003,0.003
073,Lincoln County,2020-03-23,0.112,0.051,0.004,0.003
075,Logan County,2020-03-23,0.266,0.182,0.008,0.008
077,Mesa County,2020-03-23,0.238,0.227,0.018,0.018
079,Mineral County,2020-03-23,0.032,0.031,0.002,0.002
081,Moffat County,2020-03-23,0.141,0.133,0.01,0.01
083,Montezuma County,2020-03-23,0.184,0.181,0.014,0.014
085,Montrose County,2020-03-23,0.216,0.162,0.015,0.015
087,Morgan County,2020-03-23,0.211,0.184,0.013,0.011
089,Otero County,2020-03-23,0.229,0.138,0.006,0.006
091,Ouray County,2020-03-23,0.096,0.096,0.011,0.011
093,Park County,2020-03-23,0.059,0.059,0.005,0.005
095,Phillips County,2020-03-23,0.264,0.187,0.013,0.009
097,Pitkin County,2020-03-23,0.078,0.078,0.009,0.009
099,Prowers County,2020-03-23,0.168,0.106,0.004,0.004
101,Pueblo County,2020-03-23,0.236,0.16,0.01,0.01
103,Rio Blanco County,2020-03-23,0.088,0.086,0.008,0.008
105,Rio Grande County,2020-03-23,0.176,0.081,0.005,0.005
107,Routt County,2020-03-23,0.067,0.067,0.007,0.007
109,Saguache County,2020-03-23,0.043,0.013,0,0
111,San Juan County,2020-03-23,0.011,0.011,0,0
113,San Miguel County,2020-03-23,0.031,0.031,0.003,0.003
115,Sedgwick County,2020-03-23,0.239,0.066,0.001,0.001
117,Summit County,2020-03-23,0.032,0.032,0.003,0.003
119,Teller County,2020-03-23,0.148,0.147,0.016,0.016
121,Washington County,2020-03-23,0.243,0.07,0.012,0.003
123,Weld County,2020-03-23,0.195,0.182,0.02,0.02
125,Yuma County,2020-03-23,0.28,0.083,0.012,0.005
001,Adams County,2020-03-24,0.234,0.221,0.026,0.026
003,Alamosa County,2020-03-24,0.197,0.162,0.018,0.017
005,Arapahoe County,2020-03-24,0.275,0.265,0.032,0.032
007,Archuleta County,2020-03-24,0.099,0.098,0.013,0.013
009,Baca County,2020-03-24,0.157,0.045,0.006,0.003
011,Bent County,2020-03-24,0.258,0.074,0.006,0.006
013,Boulder County,2020-03-24,0.287,0.285,0.034,0.034
014,Broomfield County,2020-03-24,0.277,0.276,0.043,0.043
015,Chaffee County,2020-03-24,0.208,0.196,0.02,0.02
017,Cheyenne County,2020-03-24,0.057,0.013,0.001,0.001
019,Clear Creek County,2020-03-24,0.129,0.128,0.013,0.013
021,Conejos County,2020-03-24,0.066,0.02,0.005,0.004
023,Costilla County,2020-03-24,0.02,0.007,0.001,0
025,Crowley County,2020-03-24,0.216,0.058,0.005,0.004
027,Custer County,2020-03-24,0.083,0.082,0.01,0.01
029,Delta County,2020-03-24,0.228,0.12,0.011,0.011
031,Denver County,2020-03-24,0.247,0.235,0.023,0.023
033,Dolores County,2020-03-24,0.038,0.022,0.003,0.003
035,Douglas County,2020-03-24,0.267,0.267,0.048,0.048
037,Eagle County,2020-03-24,0.049,0.049,0.008,0.008
039,Elbert County,2020-03-24,0.25,0.236,0.037,0.037
041,El Paso County,2020-03-24,0.275,0.268,0.032,0.032
043,Fremont County,2020-03-24,0.285,0.172,0.015,0.015
045,Garfield County,2020-03-24,0.218,0.215,0.024,0.023
047,Gilpin County,2020-03-24,0.121,0.121,0.017,0.017
049,Grand County,2020-03-24,0.007,0.007,0.002,0.002
051,Gunnison County,2020-03-24,0.098,0.098,0.01,0.01
053,Hinsdale County,2020-03-24,0.016,0.016,0.001,0.001
055,Huerfano County,2020-03-24,0.115,0.057,0.006,0.006
057,Jackson County,2020-03-24,0.016,0.007,0.003,0.003
059,Jefferson County,2020-03-24,0.286,0.283,0.039,0.038
061,Kiowa County,2020-03-24,0.118,0.035,0.002,0.002
063,Kit Carson County,2020-03-24,0.2,0.167,0.015,0.015
065,Lake County,2020-03-24,0.14,0.138,0.015,0.015
067,La Plata County,2020-03-24,0.165,0.164,0.02,0.019
069,Larimer County,2020-03-24,0.245,0.242,0.036,0.036
071,Las Animas County,2020-03-24,0.172,0.068,0.009,0.008
073,Lincoln County,2020-03-24,0.119,0.058,0.007,0.007
075,Logan County,2020-03-24,0.284,0.199,0.017,0.017
077,Mesa County,2020-03-24,0.266,0.255,0.028,0.028
079,Mineral County,2020-03-24,0.032,0.031,0,0
081,Moffat County,2020-03-24,0.163,0.155,0.022,0.022
083,Montezuma County,2020-03-24,0.204,0.201,0.02,0.019
085,Montrose County,2020-03-24,0.237,0.183,0.022,0.022
087,Morgan County,2020-03-24,0.231,0.204,0.02,0.02
089,Otero County,2020-03-24,0.243,0.152,0.015,0.014
091,Ouray County,2020-03-24,0.116,0.115,0.019,0.019
093,Park County,2020-03-24,0.068,0.068,0.009,0.009
095,Phillips County,2020-03-24,0.278,0.201,0.013,0.013
097,Pitkin County,2020-03-24,0.089,0.089,0.011,0.011
099,Prowers County,2020-03-24,0.178,0.116,0.01,0.01
101,Pueblo County,2020-03-24,0.254,0.178,0.019,0.018
103,Rio Blanco County,2020-03-24,0.105,0.103,0.016,0.016
105,Rio Grande County,2020-03-24,0.188,0.093,0.014,0.012
107,Routt County,2020-03-24,0.077,0.077,0.01,0.01
109,Saguache County,2020-03-24,0.046,0.016,0.004,0.003
111,San Juan County,2020-03-24,0.014,0.014,0.002,0.002
113,San Miguel County,2020-03-24,0.036,0.035,0.005,0.005
115,Sedgwick County,2020-03-24,0.243,0.071,0.005,0.005
117,Summit County,2020-03-24,0.038,0.038,0.006,0.006
119,Teller County,2020-03-24,0.171,0.17,0.023,0.023
121,Washington County,2020-03-24,0.252,0.078,0.008,0.008
123,Weld County,2020-03-24,0.224,0.211,0.03,0.03
125,Yuma County,2020-03-24,0.287,0.09,0.007,0.007
001,Adams County,2020-03-25,0.261,0.247,0.027,0.026
003,Alamosa County,2020-03-25,0.212,0.174,0.014,0.012
005,Arapahoe County,2020-03-25,0.304,0.294,0.03,0.029
007,Archuleta County,2020-03-25,0.113,0.112,0.013,0.013
009,Baca County,2020-03-25,0.164,0.048,0.007,0.004
011,Bent County,2020-03-25,0.273,0.079,0.015,0.005
013,Boulder County,2020-03-25,0.318,0.316,0.031,0.031
014,Broomfield County,2020-03-25,0.316,0.315,0.039,0.039
015,Chaffee County,2020-03-25,0.224,0.212,0.016,0.016
017,Cheyenne County,2020-03-25,0.06,0.016,0.004,0.003
019,Clear Creek County,2020-03-25,0.144,0.143,0.015,0.015
021,Conejos County,2020-03-25,0.068,0.021,0.003,0.001
023,Costilla County,2020-03-25,0.021,0.008,0.001,0.001
025,Crowley County,2020-03-25,0.231,0.059,0.014,0.002
027,Custer County,2020-03-25,0.093,0.092,0.01,0.01
029,Delta County,2020-03-25,0.259,0.129,0.031,0.009
031,Denver County,2020-03-25,0.269,0.256,0.022,0.021
033,Dolores County,2020-03-25,0.04,0.024,0.001,0.001
035,Douglas County,2020-03-25,0.312,0.311,0.045,0.045
037,Eagle County,2020-03-25,0.056,0.056,0.007,0.007
039,Elbert County,2020-03-25,0.286,0.271,0.035,0.035
041,El Paso County,2020-03-25,0.305,0.298,0.03,0.03
043,Fremont County,2020-03-25,0.301,0.183,0.017,0.011
045,Garfield County,2020-03-25,0.237,0.234,0.019,0.019
047,Gilpin County,2020-03-25,0.139,0.139,0.018,0.018
049,Grand County,2020-03-25,0.008,0.008,0.001,0.001
051,Gunnison County,2020-03-25,0.107,0.107,0.009,0.009
053,Hinsdale County,2020-03-25,0.017,0.017,0.001,0.001
055,Huerfano County,2020-03-25,0.123,0.061,0.008,0.005
057,Jackson County,2020-03-25,0.018,0.008,0.001,0.001
059,Jefferson County,2020-03-25,0.324,0.32,0.038,0.038
061,Kiowa County,2020-03-25,0.125,0.037,0.006,0.002
063,Kit Carson County,2020-03-25,0.212,0.177,0.012,0.01
065,Lake County,2020-03-25,0.151,0.148,0.011,0.01
067,La Plata County,2020-03-25,0.186,0.184,0.021,0.02
069,Larimer County,2020-03-25,0.279,0.276,0.034,0.034
071,Las Animas County,2020-03-25,0.182,0.073,0.01,0.005
073,Lincoln County,2020-03-25,0.129,0.063,0.01,0.005
075,Logan County,2020-03-25,0.301,0.21,0.017,0.011
077,Mesa County,2020-03-25,0.292,0.28,0.026,0.025
079,Mineral County,2020-03-25,0.037,0.036,0.005,0.005
081,Moffat County,2020-03-25,0.181,0.171,0.018,0.017
083,Montezuma County,2020-03-25,0.228,0.225,0.024,0.024
085,Montrose County,2020-03-25,0.263,0.203,0.026,0.02
087,Morgan County,2020-03-25,0.247,0.219,0.016,0.015
089,Otero County,2020-03-25,0.259,0.162,0.016,0.01
091,Ouray County,2020-03-25,0.133,0.133,0.018,0.018
093,Park County,2020-03-25,0.077,0.076,0.008,0.008
095,Phillips County,2020-03-25,0.295,0.212,0.018,0.011
097,Pitkin County,2020-03-25,0.1,0.1,0.011,0.01
099,Prowers County,2020-03-25,0.19,0.125,0.012,0.009
101,Pueblo County,2020-03-25,0.274,0.193,0.02,0.015
103,Rio Blanco County,2020-03-25,0.114,0.111,0.009,0.008
105,Rio Grande County,2020-03-25,0.204,0.099,0.016,0.007
107,Routt County,2020-03-25,0.087,0.087,0.01,0.01
109,Saguache County,2020-03-25,0.05,0.018,0.003,0.002
111,San Juan County,2020-03-25,0.017,0.017,0.003,0.003
113,San Miguel County,2020-03-25,0.039,0.039,0.004,0.003
115,Sedgwick County,2020-03-25,0.258,0.078,0.015,0.007
117,Summit County,2020-03-25,0.045,0.044,0.006,0.006
119,Teller County,2020-03-25,0.196,0.195,0.025,0.025
121,Washington County,2020-03-25,0.268,0.084,0.017,0.006
123,Weld County,2020-03-25,0.253,0.238,0.028,0.027
125,Yuma County,2020-03-25,0.303,0.097,0.016,0.008
001,Adams County,2020-03-26,0.282,0.266,0.021,0.02
003,Alamosa County,2020-03-26,0.225,0.184,0.014,0.01
005,Arapahoe County,2020-03-26,0.327,0.316,0.023,0.022
007,Archuleta County,2020-03-26,0.126,0.125,0.014,0.013
009,Baca County,2020-03-26,0.174,0.051,0.01,0.002
011,Bent County,2020-03-26,0.29,0.084,0.016,0.004
013,Boulder County,2020-03-26,0.342,0.341,0.024,0.024
014,Broomfield County,2020-03-26,0.345,0.344,0.029,0.029
015,Chaffee County,2020-03-26,0.239,0.226,0.015,0.014
017,Cheyenne County,2020-03-26,0.069,0.021,0.008,0.005
019,Clear Creek County,2020-03-26,0.157,0.157,0.014,0.013
021,Conejos County,2020-03-26,0.075,0.023,0.006,0.002
023,Costilla County,2020-03-26,0.023,0.01,0.002,0.002
025,Crowley County,2020-03-26,0.243,0.061,0.014,0.002
027,Custer County,2020-03-26,0.103,0.102,0.01,0.009
029,Delta County,2020-03-26,0.274,0.137,0.026,0.007
031,Denver County,2020-03-26,0.288,0.274,0.019,0.018
033,Dolores County,2020-03-26,0.047,0.028,0.008,0.004
035,Douglas County,2020-03-26,0.344,0.343,0.032,0.031
037,Eagle County,2020-03-26,0.063,0.062,0.007,0.007
039,Elbert County,2020-03-26,0.314,0.298,0.029,0.027
041,El Paso County,2020-03-26,0.329,0.321,0.024,0.023
043,Fremont County,2020-03-26,0.318,0.195,0.017,0.012
045,Garfield County,2020-03-26,0.257,0.254,0.02,0.02
047,Gilpin County,2020-03-26,0.155,0.154,0.016,0.015
049,Grand County,2020-03-26,0.01,0.01,0.002,0.002
051,Gunnison County,2020-03-26,0.115,0.114,0.008,0.008
053,Hinsdale County,2020-03-26,0.02,0.02,0.003,0.003
055,Huerfano County,2020-03-26,0.131,0.066,0.008,0.005
057,Jackson County,2020-03-26,0.02,0.009,0.002,0.001
059,Jefferson County,2020-03-26,0.351,0.347,0.027,0.026
061,Kiowa County,2020-03-26,0.136,0.038,0.011,0.001
063,Kit Carson County,2020-03-26,0.223,0.186,0.011,0.008
065,Lake County,2020-03-26,0.167,0.164,0.016,0.016
067,La Plata County,2020-03-26,0.203,0.202,0.018,0.018
069,Larimer County,2020-03-26,0.303,0.3,0.024,0.024
071,Las Animas County,2020-03-26,0.196,0.078,0.013,0.004
073,Lincoln County,2020-03-26,0.141,0.07,0.012,0.007
075,Logan County,2020-03-26,0.316,0.22,0.017,0.01
077,Mesa County,2020-03-26,0.314,0.301,0.023,0.021
079,Mineral County,2020-03-26,0.041,0.04,0.004,0.004
081,Moffat County,2020-03-26,0.195,0.184,0.015,0.013
083,Montezuma County,2020-03-26,0.252,0.248,0.023,0.023
085,Montrose County,2020-03-26,0.285,0.22,0.025,0.017
087,Morgan County,2020-03-26,0.263,0.232,0.016,0.013
089,Otero County,2020-03-26,0.273,0.17,0.015,0.008
091,Ouray County,2020-03-26,0.148,0.147,0.014,0.014
093,Park County,2020-03-26,0.084,0.083,0.007,0.007
095,Phillips County,2020-03-26,0.314,0.222,0.02,0.011
097,Pitkin County,2020-03-26,0.111,0.11,0.011,0.011
099,Prowers County,2020-03-26,0.203,0.133,0.015,0.008
101,Pueblo County,2020-03-26,0.289,0.204,0.016,0.011
103,Rio Blanco County,2020-03-26,0.126,0.124,0.013,0.013
105,Rio Grande County,2020-03-26,0.213,0.107,0.011,0.008
107,Routt County,2020-03-26,0.095,0.095,0.008,0.008
109,Saguache County,2020-03-26,0.055,0.022,0.005,0.004
111,San Juan County,2020-03-26,0.018,0.018,0.001,0.001
113,San Miguel County,2020-03-26,0.045,0.044,0.006,0.006
115,Sedgwick County,2020-03-26,0.275,0.085,0.019,0.007
117,Summit County,2020-03-26,0.051,0.051,0.006,0.006
119,Teller County,2020-03-26,0.215,0.214,0.019,0.019
121,Washington County,2020-03-26,0.286,0.088,0.018,0.004
123,Weld County,2020-03-26,0.275,0.259,0.022,0.021
